#ϣⲁⲉⲛⲉϩ	ADV	ϣⲁⲉⲛⲉϩ
#ϯⲧⲟⲟⲧ	V	ϯⲧⲟⲟⲧ
#ϯⲧⲟⲟⲧⲟⲩ	V	ϯⲧⲟⲟⲧ
#ⲕⲁⲁⲧ	VSTAT	ⲕⲁⲁⲧ
#ⲕⲉⲟⲩⲁ	N	ⲕⲉⲟⲩⲁ
#ⲙⲁⲙⲡⲱⲧ	N	ⲙⲁⲙⲡⲱⲧ
#ⲙⲁⲛϣⲉⲗⲉⲉⲧ	N	ⲙⲁⲛϣⲉⲗⲉⲉⲧ
#ⲙⲁⲛϣⲓⲛⲉ	N	ⲙⲁⲛϣⲓⲛⲉ
#ⲙⲁⲛϣⲱⲡⲉ	N	ⲙⲁⲛϣⲱⲡⲉ
#ⲙⲁⲛϩⲁⲣⲉϩ	N	ⲙⲁⲛϩⲁⲣⲉϩ
#ⲙⲁⲛϩⲱⲧⲡ	N	ⲙⲁⲛϩⲱⲧⲡ
#ⲙⲁⲛϫⲁⲓⲉ	N	ⲙⲁⲛϫⲁⲓⲉ
#ⲙⲁⲛⲉⲗⲟⲟⲗⲉ	N	ⲙⲁⲛⲉⲗⲟⲟⲗⲉ
#ⲙⲁⲛⲕⲟⲧⲕ	N	ⲙⲁⲛⲕⲟⲧⲕ
#ⲙⲁⲛⲙⲧⲟⲛ	N	ⲙⲁⲛⲙⲧⲟⲛ
#ⲙⲁⲛⲛⲁ	N	ⲙⲁⲛⲛⲁ
#ⲙⲁⲛⲛⲉⲓⲇⲱⲗⲟⲛ	N	ⲙⲁⲛⲛⲉⲓⲇⲱⲗⲟⲛ
#ⲙⲁⲛⲟⲩⲱϩ	N	ⲙⲁⲛⲟⲩⲱϩ
#ⲙⲁⲛⲟⲩⲱⲙ	N	ⲙⲁⲛⲟⲩⲱⲙ
#ⲣϩⲛⲁ	V	ⲣϩⲛⲁ
#ⲣϩⲛⲏ	V	ⲣϩⲛⲏ
ⲁⲣⲭⲓⲅⲉⲛⲉⲧⲱⲣ	N	ⲁⲣⲭⲓⲅⲉⲛⲉⲧⲱⲣ
ⲁⲣⲭⲓⲅⲉⲛⲛⲏⲧⲱⲣ	N	ⲁⲣⲭⲓⲅⲉⲛⲛⲏⲧⲱⲣ
ⲁⲣⲭⲓⲇⲁⲓⲙⲱⲛ	N	ⲁⲣⲭⲓⲇⲁⲓⲙⲱⲛ
ⲁⲣⲭⲓⲇⲓⲁⲕⲟⲛⲟⲥ	N	ⲁⲣⲭⲓⲇⲓⲁⲕⲟⲛⲟⲥ
ⲁⲣⲭⲓⲉⲡⲓⲥⲕⲟⲡⲟⲥ	N	ⲁⲣⲭⲓⲉⲡⲓⲥⲕⲟⲡⲟⲥ
ⲁⲣⲭⲓⲉⲣⲉⲩⲥ	N	ⲁⲣⲭⲓⲉⲣⲉⲩⲥ
ⲁⲣⲭⲓⲉⲣⲟⲥⲩⲛⲏ	N	ⲁⲣⲭⲓⲉⲣⲟⲥⲩⲛⲏ
ⲁⲣⲭⲓⲙⲁⲅⲉⲣⲟⲥ	N	ⲁⲣⲭⲓⲙⲁⲅⲉⲣⲟⲥ
ⲁⲣⲭⲓⲙⲁⲛⲇⲣⲓⲧⲏⲥ	N	ⲁⲣⲭⲓⲙⲁⲛⲇⲣⲓⲧⲏⲥ
ⲁⲣⲭⲓⲥⲑⲁⲓ	V	ⲁⲣⲭⲓⲥⲑⲁⲓ
ⲁⲣⲭⲓⲥⲧⲣⲁⲧⲉⲩⲙⲁ	N	ⲁⲣⲭⲓⲥⲧⲣⲁⲧⲉⲩⲙⲁ
ⲁⲣⲭⲓⲥⲧⲣⲁⲧⲏⲅⲟⲥ	N	ⲁⲣⲭⲓⲥⲧⲣⲁⲧⲏⲅⲟⲥ
ⲁⲣⲭⲓⲥⲩⲛⲁⲅⲱⲅⲟⲥ	N	ⲁⲣⲭⲓⲥⲩⲛⲁⲅⲱⲅⲟⲥ
ⲁⲣⲭⲓⲧⲉⲕⲧⲱⲛ	N	ⲁⲣⲭⲓⲧⲉⲕⲧⲱⲛ
ⲁⲣⲭⲓⲧⲗⲕ	V	ⲁⲣⲭⲓⲧⲗⲕ
ⲁⲣⲭⲟⲛⲧⲓⲕⲏ	N	ⲁⲣⲭⲟⲛⲧⲓⲕⲏ
ⲁⲣⲭⲟⲛⲧⲓⲕⲟⲛ	N	ⲁⲣⲭⲟⲛⲧⲓⲕⲟⲛ
ⲁⲣⲭⲱⲛ	N	ⲁⲣⲭⲱⲛ
ⲁⲣⲱⲙⲁⲧⲁ	N	ⲁⲣⲱⲙⲁⲧⲁ
ⲁⲣⲱⲛ	NPROP	ⲁⲣⲱⲛ
ⲁⲣⲱⲟⲩ	N	ⲁⲣⲟⲟⲩⲉ
ⲁⲥ	N	ⲁⲥ
ⲁⲥⲁⲓ	N	ⲁⲥⲁⲓ
ⲁⲥⲁⲓ	V	ⲁⲥⲁⲓ
ⲁⲥⲁⲗⲉⲩⲧⲟⲥ	N	ⲁⲥⲁⲗⲉⲩⲧⲟⲥ
ⲁⲥⲁⲫ	NPROP	ⲁⲥⲁⲫ
ⲁⲥⲉⲃⲏⲥ	N	ⲁⲥⲉⲃⲏⲥ
ⲁⲥⲉⲓⲱⲟⲩ	V	ⲁⲥⲁⲓ
ⲁⲥⲉⲗⲉⲩⲧⲱⲛ	N	ⲁⲥⲉⲗⲉⲩⲧⲱⲛ
ⲁⲥⲉⲛⲛⲉⲑ	NPROP	ⲁⲥⲉⲛⲛⲉⲑ
ⲁⲥⲏⲙⲁⲛⲧⲟⲥ	N	ⲁⲥⲏⲙⲁⲛⲧⲟⲥ
ⲁⲥⲏⲙⲓⲟⲥ	N	ⲁⲥⲏⲙⲓⲟⲥ
ⲁⲥⲏⲣ	N	ⲁⲥⲏⲣ
ⲁⲥⲑⲉⲛⲉⲓⲁ	N	ⲁⲥⲑⲉⲛⲉⲓⲁ
ⲁⲥⲑⲉⲛⲏⲥ	N	ⲁⲥⲑⲉⲛⲏⲥ
ⲁⲥⲓⲁ	NPROP	ⲁⲥⲓⲁ
ⲁⲥⲓⲕ	N	ⲁⲥⲓⲕ
ⲁⲥⲓⲱⲟⲩ	V	ⲁⲥⲁⲓ
ⲁⲥⲕⲁⲗⲱⲛ	NPROP	ⲁⲥⲕⲁⲗⲱⲛ
ⲁⲥⲕⲉ	N	ⲁⲥⲕⲉ
ⲁⲥⲕⲉⲓ	V	ⲁⲥⲕⲉⲓ
ⲁⲥⲕⲏⲥⲓⲥ	N	ⲁⲥⲕⲏⲥⲓⲥ
ⲁⲥⲕⲏⲧⲏⲥ	N	ⲁⲥⲕⲏⲧⲏⲥ
ⲁⲥⲕⲏⲧⲓⲕⲟⲛ	N	ⲁⲥⲕⲏⲧⲓⲕⲟⲛ
ⲁⲥⲕⲟⲡⲟⲥ	N	ⲁⲥⲕⲟⲡⲟⲥ
ⲁⲥⲕⲟⲥ	N	ⲁⲥⲕⲟⲥ
ⲁⲥⲕⲩⲧⲏⲥ	N	ⲁⲥⲕⲩⲧⲏⲥ
ⲁⲥⲟⲩ	N	ⲁⲥⲟⲩ
ⲁⲥⲟⲫⲟⲛ	N	ⲁⲥⲟⲫⲟⲛ
ⲁⲥⲡⲁⲍⲉ	V	ⲁⲥⲡⲁⲍⲉ
ⲁⲥⲡⲁⲗⲁⲑⲟⲥ	N	ⲁⲥⲡⲁⲗⲁⲑⲟⲥ
ⲁⲥⲡⲁⲥⲙⲟⲥ	N	ⲁⲥⲡⲁⲥⲙⲟⲥ
ⲁⲥⲡⲉ	N	ⲁⲥⲡⲉ
ⲁⲥⲥⲁⲣⲓⲟⲛ	N	ⲁⲥⲥⲁⲣⲓⲟⲛ
ⲁⲥⲥⲩⲣⲓⲟⲥ	N	ⲁⲥⲥⲩⲣⲓⲟⲥ
ⲁⲥⲧⲉⲓⲟⲥ	N	ⲁⲥⲧⲉⲓⲟⲥ
ⲁⲥⲧⲏⲣ	N	ⲁⲥⲧⲏⲣ
ⲁⲥⲧⲓⲟⲥ	N	ⲁⲥⲧⲓⲟⲥ
ⲁⲥⲧⲣⲟⲗⲟⲅⲟⲥ	N	ⲁⲥⲧⲣⲟⲗⲟⲅⲟⲥ
ⲁⲥⲧⲣⲟⲛⲟⲙⲓⲁ	N	ⲁⲥⲧⲣⲟⲛⲟⲙⲓⲁ
ⲁⲥⲩⲛⲑⲉⲧⲟⲛ	N	ⲁⲥⲩⲛⲑⲉⲧⲟⲛ
ⲁⲥⲩⲛⲑⲉⲧⲟⲥ	N	ⲁⲥⲩⲛⲑⲉⲧⲟⲥ
ⲁⲥⲩⲥⲧⲁⲧⲟⲥ	N	ⲁⲥⲩⲥⲧⲁⲧⲟⲥ
ⲁⲥⲫⲁⲗⲁⲕⲟⲛ	N	ⲁⲥⲫⲁⲗⲁⲕⲟⲛ
ⲁⲥⲫⲁⲗⲉⲥⲧⲏⲣⲟⲛ	N	ⲁⲥⲫⲁⲗⲉⲥⲧⲏⲣⲟⲛ
ⲁⲥⲫⲁⲗⲏⲥ	N	ⲁⲥⲫⲁⲗⲏⲥ
ⲁⲥⲫⲁⲗⲓⲁ	N	ⲁⲥⲫⲁⲗⲓⲁ
ⲁⲥⲫⲁⲗⲓⲍⲉ	V	ⲁⲥⲫⲁⲗⲓⲍⲉ
ⲁⲥⲫⲁⲗⲧⲟⲛ	N	ⲁⲥⲫⲁⲗⲧⲟⲛ
ⲁⲥⲫⲁⲗⲧⲟⲥ	N	ⲁⲥⲫⲁⲗⲧⲟⲥ
ⲁⲥⲫⲁⲗⲱⲥ	ADV	ⲁⲥⲫⲁⲗⲱⲥ
ⲁⲥⲭⲁⲣⲁ	N	ⲁⲥⲭⲁⲣⲁ
ⲁⲥⲭⲏⲙⲟⲛⲉⲓ	V	ⲁⲥⲭⲏⲙⲟⲛⲉⲓ
ⲁⲥⲭⲏⲙⲟⲥⲩⲛⲏ	N	ⲁⲥⲭⲏⲙⲟⲥⲩⲛⲏ
ⲁⲥⲱⲙⲁⲧⲟⲛ	N	ⲁⲥⲱⲙⲁⲧⲟⲛ
ⲁⲥⲱⲙⲁⲧⲟⲥ	N	ⲁⲥⲱⲙⲁⲧⲟⲥ
ⲁⲥⲱⲟⲩ	VSTAT	ⲁⲥⲁⲓ
ⲁⲥⲱⲣ	NPROP	ⲁⲥⲱⲣ
ⲁⲧϣϭⲟⲣ	N	ⲁⲧϣϭⲟⲣ
ⲁⲧϣⲁϫⲉ	N	ⲁⲧϣⲁϫⲉ
ⲁⲧϣⲁⲗ	N	ⲁⲧϣⲁⲗ
ⲁⲧϣⲁⲩ	N	ⲁⲧϣⲁⲩ
ⲁⲧϣⲉⲡϩⲙⲟⲧ	N	ⲁⲧϣⲉⲡϩⲙⲟⲧ
ⲁⲧϣⲏⲣⲉ	N	ⲁⲧϣⲏⲣⲉ
ⲁⲧϣⲓ	N	ⲁⲧϣⲓ
ⲁⲧϣⲓⲃⲉ	N	ⲁⲧϣⲓⲃⲉ
ⲁⲧϣⲓⲃⲧⲉ	N	ⲁⲧϣⲓⲃⲧⲉ
ⲁⲧϣⲓⲡⲉ	N	ⲁⲧϣⲓⲡⲉ
ⲁⲧϣⲓⲧ	N	ⲁⲧϣⲓ
ⲁⲧϣⲟϥⲧ	N	ⲁⲧϣⲟϥⲧ
ⲁⲧϣⲟϫⲛⲉ	N	ⲁⲧϣⲟϫⲛⲉ
ⲁⲧϣⲡϩⲓⲥⲉ	N	ⲁⲧϣⲡϩⲓⲥⲉ
ⲁⲧϣⲡϩⲙⲟⲧ	N	ⲁⲧϣⲡϩⲙⲟⲧ
ⲁⲧϣⲧⲁϩⲟ	N	ⲁⲧⲉϣⲧⲁϩⲟ
ⲁⲧϣⲧⲟⲣⲧⲣ	N	ⲁⲧϣⲧⲟⲣⲧⲣ
ⲁⲧϣⲱⲡ	N	ⲁⲧϣⲱⲡ
ⲁⲧϣⲱⲡⲉ	N	ⲁⲧϣⲱⲡⲉ
ⲁⲧϩⲁⲉⲓⲃⲉⲥ	N	ⲁⲧϩⲁⲉⲓⲃⲉⲥ
ⲁⲧϩⲁⲓ	V	ⲁⲧϩⲁⲓ
ⲁⲧϩⲁⲓⲃⲉⲥ	N	ⲁⲧϩⲁⲉⲓⲃⲉⲥ
ⲁⲧϩⲉ	N	ⲁⲧϩⲉ
ⲁⲧϩⲉⲃⲥⲱ	N	ⲁⲧϩⲉⲃⲥⲱ
ⲁⲧϩⲏⲧ	N	ⲁⲧϩⲏⲧ
ⲁⲧϩⲕⲟ	N	ⲁⲧϩⲕⲟ
ⲁⲧϩⲙⲟⲧ	N	ⲁⲧϩⲙⲟⲧ
ⲁⲧϩⲟⲧϩⲧ	N	ⲁⲧϩⲟⲧϩⲧ
ⲁⲧϩⲟⲧⲉ	N	ⲁⲧϩⲟⲧⲉ
ⲁⲧϩⲣⲟⲟⲩ	N	ⲁⲧϩⲣⲟⲟⲩ
ⲁⲧϩⲥ	N	ⲁⲧϩⲥ
ⲁⲧϩⲩⲗⲏ	N	ⲁⲧϩⲩⲗⲏ
ⲁⲧϫⲁϫⲉ	N	ⲁⲧϫⲁⲁϫⲉ
ⲁⲧϫⲁⲁϫⲉ	N	ⲁⲧϫⲁⲁϫⲉ
ⲁⲧϫⲃⲓⲛ	N	ⲁⲧϫⲃⲓⲛ
ⲁⲧϫⲉⲛⲁ	N	ⲁⲧϫⲉⲛⲁ
ⲁⲧϫⲓϭⲟⲗ	N	ⲁⲧϫⲓϭⲟⲗ
ⲁⲧϫⲓⲏⲡⲉ	N	ⲁⲧϫⲓⲏⲡⲉ
ⲁⲧϫⲓⲟⲟⲣ	N	ⲁⲧϫⲓⲟⲟⲣ
ⲁⲧϫⲛⲁ	N	ⲁⲧϫⲉⲛⲁ
ⲁⲧϫⲛⲁⲁⲩ	N	ⲁⲧϫⲛⲁⲁⲩ
ⲁⲧϫⲛⲁⲩ	N	ⲁⲧϫⲛⲁⲁⲩ
ⲁⲧϫⲟ	N	ⲁⲧϫⲟ
ⲁⲧϫⲡⲟϥ	N	ⲁⲧϫⲡⲟϥ
ⲁⲧϫⲣⲟ	N	ⲁⲧϫⲣⲟ
ⲁⲧϫⲣⲟⲡ	N	ⲁⲧϫⲣⲟⲡ
ⲁⲧϫⲱ	N	ⲁⲧϫⲱ
ⲁⲧϫⲱϩ	N	ⲁⲧϫⲱϩ
ⲁⲧϫⲱϩⲙ	N	ⲁⲧϫⲱϩⲙ
ⲁⲧϫⲱⲕ	N	ⲁⲧϫⲱⲕ
ⲁⲧϫⲱⲕⲙ	N	ⲁⲧϫⲱⲕⲙ
ⲁⲧϫⲱⲱⲃ	N	ⲁⲧϫⲱⲱⲃ
ⲁⲧϭⲙⲉ	N	ⲁⲧϭⲙⲉ
ⲁⲧϭⲛⲣⲁⲧ	N	ⲁⲧϭⲛⲣⲁⲧ
ⲁⲧϭⲟⲙ	N	ⲁⲧϭⲟⲙ
ⲁⲧϭⲟⲙϭⲉⲙ	N	ⲁⲧϭⲟⲙϭⲉⲙ
ⲁⲧϭⲟⲙϭⲙ	N	ⲁⲧϭⲟⲙϭⲉⲙ
ⲁⲧϭⲟⲣⲧⲉ	N	ⲁⲧϭⲟⲣⲧⲉ
ⲁⲧϭⲣⲏⲛ	N	ⲁϭⲣⲏⲛ
ⲁⲧϭⲣⲟϭ	N	ⲁⲧϭⲣⲟⲟϭ
ⲁⲧϭⲣⲟⲟϭ	N	ⲁⲧϭⲣⲟⲟϭ
ⲁⲧϭⲱϣ	N	ⲁⲧϭⲱϣ
ⲁⲧϭⲱϫⲃ	N	ⲁⲧϭⲱϫⲃ
ⲁⲧϭⲱⲗⲡ	N	ⲁⲧϭⲱⲗⲡ
ⲁⲧϭⲱⲛⲧ	N	ⲁⲧϭⲱⲛⲧ
ⲁⲧϭⲱⲡⲉ	N	ⲁⲧϭⲱⲡⲉ
ⲁⲧϭⲱⲧⲡ	N	ⲁⲧϭⲱⲧⲡ
ⲁⲧϭⲱⲱⲃⲉ	N	ⲁⲧϭⲱⲱⲃⲉ
ⲁⲧϯϣⲓ	N	ⲁⲧϯϣⲓ
ⲁⲧϯⲟⲩⲱ	N	ⲁⲧϯⲟⲩⲱ
ⲁⲧϯⲣⲁⲛ	N	ⲁⲧϯⲣⲁⲛ
ⲁⲧϯⲧⲱϣ	N	ⲁⲧϯⲧⲱϣ
ⲁⲧϯⲧⲱⲛ	N	ⲁⲧϯⲧⲱⲛ
ⲁⲧⲁⲑⲉⲧⲉⲓ	N	ⲁⲧⲁⲑⲉⲧⲉⲓ
ⲁⲧⲁⲕⲧⲟⲥ	N	ⲁⲧⲁⲕⲧⲟⲥ
ⲁⲧⲁⲕⲧⲱⲥ	N	ⲁⲧⲁⲕⲧⲱⲥ
ⲁⲧⲁⲙⲁϩⲧⲉ	N	ⲁⲧⲁⲙⲁϩⲧⲉ
ⲁⲧⲁⲙⲁⲛⲇⲓⲛⲟⲛ	N	ⲁⲧⲁⲙⲁⲛⲇⲓⲛⲟⲛ
ⲁⲧⲁⲝⲓⲁ	N	ⲁⲧⲁⲝⲓⲁ
ⲁⲧⲁⲡⲉ	N	ⲁⲧⲁⲡⲉ
ⲁⲧⲁⲣⲏϫ	N	ⲁⲧⲁⲣⲏϫ
ⲁⲧⲁⲣⲓⲕⲉ	N	ⲁⲧⲁⲣⲓⲕⲉ
ⲁⲧⲃⲁⲗ	N	ⲁⲧⲃⲁⲗ
ⲁⲧⲃⲉⲥ	N	ⲁⲧⲃⲉⲥ
ⲁⲧⲃⲥ	N	ⲁⲧⲃⲥ
ⲁⲧⲃⲱⲗⲉⲃⲟⲗ	N	ⲁⲧⲃⲱⲗⲉⲃⲟⲗ
ⲁⲧⲇⲓⲁⲕⲣⲓⲛⲉ	N	ⲁⲧⲇⲓⲁⲕⲣⲓⲛⲉ
ⲁⲧⲉϣⲧⲁϩⲟ	N	ⲁⲧⲉϣⲧⲁϩⲟ
ⲁⲧⲉⲓⲙⲉ	N	ⲁⲧⲉⲓⲙⲉ
ⲁⲧⲉⲓⲱⲧ	N	ⲁⲧⲉⲓⲱⲧ
ⲁⲧⲉⲗⲏⲥ	N	ⲁⲧⲉⲗⲏⲥ
ⲁⲧⲉⲛⲱⲭⲗⲓ	N	ⲁⲧⲉⲛⲱⲭⲗⲓ
ⲁⲧⲉⲩⲁⲅⲅⲉⲗⲉⲓ	N	ⲁⲧⲉⲩⲁⲅⲅⲉⲗⲉⲓ
ⲁⲧⲏⲡⲉ	N	ⲁⲧⲏⲡⲉ
ⲁⲧⲑⲁⲃ	N	ⲁⲧⲑⲁⲃ
ⲁⲧⲓⲙⲓⲁ	N	ⲁⲧⲓⲙⲓⲁ
ⲁⲧⲓⲙⲟⲥ	N	ⲁⲧⲓⲙⲟⲥ
ⲁⲧⲕⲁϭⲓⲁ	N	ⲁⲧⲕⲁϭⲓⲁ
ⲁⲧⲕⲁⲕⲓⲁ	N	ⲁⲧⲕⲁⲕⲓⲁ
ⲁⲧⲕⲁⲣⲡⲟⲥ	N	ⲁⲧⲕⲁⲣⲡⲟⲥ
ⲁⲧⲕⲁⲣⲱ	N	ⲁⲧⲕⲁⲣⲱ
ⲁⲧⲕⲁⲥ	N	ⲁⲧⲕⲁⲥ
ⲁⲧⲕⲁⲧⲁⲗⲩⲉ	N	ⲁⲧⲕⲁⲧⲁⲗⲩⲉ
ⲁⲧⲕⲓⲙ	N	ⲁⲧⲕⲓⲙ
ⲁⲧⲕⲣⲟϥ	N	ⲁⲧⲕⲣⲟϥ
ⲁⲧⲕⲧⲟ	N	ⲁⲧⲕⲧⲟ
ⲁⲧⲕⲱⲃ	N	ⲁⲧⲕⲱⲃ
ⲁⲧⲗⲁⲁⲩ	N	ⲁⲧⲗⲁⲁⲩ
ⲁⲧⲗⲁⲁⲩⲉ	N	ⲁⲧⲗⲁⲁⲩ
ⲁⲧⲗⲁⲟⲩⲉ	N	ⲁⲧⲗⲁⲁⲩ
ⲁⲧⲗⲁⲩⲉ	N	ⲁⲧⲗⲁⲁⲩ
ⲁⲧⲗⲟⲅⲟⲥ	N	ⲁⲧⲗⲟⲅⲟⲥ
ⲁⲧⲗⲱⲙ	N	ⲁⲧⲗⲱⲱⲙⲉ
ⲁⲧⲗⲱⲱⲙ	N	ⲁⲧⲗⲱⲱⲙⲉ
ⲁⲧⲗⲱⲱⲙⲉ	N	ⲁⲧⲗⲱⲱⲙⲉ
ⲁⲧⲙⲁⲁϫⲉ	N	ⲁⲧⲙⲁⲁϫⲉ
ⲁⲧⲙⲁⲁⲩ	N	ⲁⲧⲙⲁⲁⲩ
ⲁⲧⲙⲁⲕⲙⲉⲕ	N	ⲁⲧⲙⲟⲕⲙⲉⲕ
ⲁⲧⲙⲁⲣⲧ	N	ⲁⲧⲙⲟⲣⲧ
ⲁⲧⲙⲏⲥⲉ	N	ⲁⲧⲙⲏⲥⲉ
ⲁⲧⲙⲓⲥⲉ	N	ⲁⲧⲙⲓⲥⲉ
ⲁⲧⲙⲟⲕⲙⲉⲕ	N	ⲁⲧⲙⲟⲕⲙⲉⲕ
ⲁⲧⲙⲟⲟϣⲉ	N	ⲁⲧⲙⲟⲟϣⲉ
ⲁⲧⲙⲟⲟⲩ	N	ⲁⲧⲙⲟⲟⲩ
ⲁⲧⲙⲟⲣⲧ	N	ⲁⲧⲙⲟⲣⲧ
ⲁⲧⲙⲟⲩ	N	ⲁⲧⲙⲟⲩ
ⲁⲧⲙⲟⲩϣⲧ	N	ⲁⲧⲙⲟⲩϣⲧ
ⲁⲧⲙⲟⲩⲛⲅ	N	ⲁⲧⲙⲟⲩⲛⲕ
ⲁⲧⲙⲡϣⲁ	N	ⲁⲧⲙⲡϣⲁ
ⲁⲧⲛⲁ	N	ⲁⲧⲛⲁ
ⲁⲧⲛⲁϩⲧⲉ	N	ⲁⲧⲛⲁϩⲧⲉ
ⲁⲧⲛⲁⲩ	N	ⲁⲧⲛⲁⲩ
ⲁⲧⲛⲉϩ	N	ⲁⲧⲛⲉϩ
ⲁⲧⲛⲉⲉϥ	N	ⲁⲧⲛⲉⲉϥ
ⲁⲧⲛⲕⲟⲧⲕ	N	ⲁⲧⲛⲕⲟⲧⲕ
ⲁⲧⲛⲟⲃⲉ	N	ⲁⲧⲛⲟⲃⲉ
ⲁⲧⲛⲟⲉⲓ	N	ⲁⲧⲛⲟⲉⲓ
ⲁⲧⲛⲟⲉⲓⲛ	N	ⲁⲧⲛⲟⲉⲓⲛ
ⲁⲧⲛⲟⲓ	N	ⲁⲧⲛⲟⲓ
ⲁⲧⲛⲟⲩⲥ	N	ⲁⲧⲛⲟⲩⲥ
ⲁⲧⲛⲟⲩⲧⲉ	N	ⲁⲧⲛⲟⲩⲧⲉ
ⲁⲧⲛⲣⲁⲧ	N	ⲁⲧⲛⲣⲁⲧ
ⲁⲧⲟⲉⲓⲕ	N	ⲁⲧⲟⲉⲓⲕ
ⲁⲧⲟⲛⲉⲓ	V	ⲁⲧⲟⲛⲉⲓ
ⲁⲧⲟⲡⲟⲛ	N	ⲁⲧⲟⲡⲟⲛ
ⲁⲧⲟⲣⲃ	N	ⲁⲧⲟⲣⲃ
ⲁⲧⲟⲩϣⲏ	N	ⲁⲧⲟⲩϣⲏ
ⲁⲧⲟⲩϫⲁⲓ	N	ⲁⲧⲟⲩϫⲁⲓ
ⲁⲧⲟⲩⲉⲓⲛⲉ	N	ⲁⲧⲟⲩⲉⲓⲛⲉ
ⲁⲧⲟⲩⲙ	N	ⲁⲧⲟⲩⲙ
ⲁⲧⲟⲩⲟⲉⲓϣ	N	ⲁⲧⲟⲩⲟⲉⲓϣ
ⲁⲧⲟⲩⲟⲉⲓⲛ	N	ⲁⲧⲟⲩⲟⲉⲓⲛ
ⲁⲧⲟⲩⲥⲓⲁ	N	ⲁⲧⲟⲩⲥⲓⲁ
ⲁⲧⲟⲩⲱ	N	ⲁⲧⲟⲩⲱ
ⲁⲧⲟⲩⲱϭⲡ	N	ⲁⲧⲟⲩⲱϭⲡ
ⲁⲧⲟⲩⲱⲙ	N	ⲁⲧⲟⲩⲱⲙ
ⲁⲧⲟⲩⲱⲣϩ	N	ⲁⲧⲟⲩⲱⲣϩ
ⲁⲧⲡⲁⲣⲁⲃⲁ	N	ⲁⲧⲡⲁⲣⲁⲃⲁ
ⲁⲧⲡⲁⲣⲁⲥⲉⲗⲉⲩⲉ	N	ⲁⲧⲡⲁⲣⲁⲥⲉⲗⲉⲩⲉ
ⲁⲧⲡⲉⲓⲑⲉ	N	ⲁⲧⲡⲉⲓⲑⲉ
ⲁⲧⲡⲛⲉⲩⲙⲁ	N	ⲁⲧⲡⲛⲉⲩⲙⲁ
ⲁⲧⲡⲱϣ	N	ⲁⲧⲡⲱϣ
ⲁⲧⲡⲱⲣϫ	N	ⲁⲧⲡⲱⲣϫ
ⲁⲧⲡⲱⲧⲥ	N	ⲁⲧⲡⲱⲧⲥ
ⲁⲧⲡⲱⲱⲛⲉ	N	ⲁⲧⲡⲱⲱⲛⲉ
ⲁⲧⲣϩⲟⲟⲗⲉ	N	ⲁⲧⲣϩⲟⲟⲗⲉ
ⲁⲧⲣⲉⲡⲧⲟⲥ	N	ⲁⲧⲣⲉⲡⲧⲟⲥ
ⲁⲧⲣⲓⲕⲉ	N	ⲁⲧⲣⲓⲕⲉ
ⲁⲧⲣⲟ	N	ⲁⲧⲣⲟ
ⲁⲧⲣⲟⲟⲩϣ	N	ⲁⲧⲣⲟⲟⲩϣ
ⲁⲧⲣⲱϥ	N	ⲁⲧⲣⲱϥ
ⲁⲧⲣⲱⲙⲉ	N	ⲁⲧⲣⲱⲙⲉ
ⲁⲧⲥϩⲁⲓ	N	ⲁⲧⲥϩⲁⲓ
ⲁⲧⲥⲁⲣⲁⲝ	N	ⲁⲧⲥⲁⲣⲁⲝ
ⲁⲧⲥⲃⲃⲉ	N	ⲁⲧⲥⲃⲃⲉ
ⲁⲧⲥⲃⲱ	N	ⲁⲧⲥⲃⲱ
ⲁⲧⲥⲉⲓ	N	ⲁⲧⲥⲉⲓ
ⲁⲧⲥⲏⲩ	N	ⲁⲧⲥⲏⲩ
ⲁⲧⲥⲓⲛⲉ	N	ⲁⲧⲥⲓⲛⲉ
ⲁⲧⲥⲙⲏ	N	ⲁⲧⲥⲙⲏ
ⲁⲧⲥⲙⲟⲧ	N	ⲁⲧⲥⲙⲟⲧ
ⲁⲧⲥⲛⲟϥ	N	ⲁⲧⲥⲛⲟϥ
ⲁⲧⲥⲟⲃⲧⲉ	N	ⲁⲧⲥⲟⲃⲧⲉ
ⲁⲧⲥⲟⲕ	N	ⲁⲧⲥⲟⲕ
ⲁⲧⲥⲟⲛⲧ	N	ⲁⲧⲥⲟⲛⲧ
ⲁⲧⲥⲟⲟⲩⲛ	N	ⲁⲧⲥⲟⲟⲩⲛ
ⲁⲧⲥⲧⲙⲏⲧ	N	ⲁⲧⲥⲧⲙⲏⲧ
ⲁⲧⲥⲭⲏⲙⲁ	N	ⲁⲧⲥⲭⲏⲙⲁ
ⲁⲧⲥⲱⲙⲁ	N	ⲁⲧⲥⲱⲙⲁ
ⲁⲧⲥⲱⲧⲙ	N	ⲁⲧⲥⲱⲧⲙ
ⲁⲧⲧⲁϩⲟ	N	ⲁⲧⲧⲁϩⲟ
ⲁⲧⲧⲁⲕⲟ	N	ⲁⲧⲧⲁⲕⲟ
ⲁⲧⲧⲁⲗϭⲟ	N	ⲁⲧⲧⲁⲗϭⲟ
ⲁⲧⲧⲁⲟⲩⲟ	N	ⲁⲧⲧⲁⲟⲩⲟ
ⲁⲧⲧⲁⲩⲟ	N	ⲁⲧⲧⲁⲟⲩⲟ
ⲁⲧⲧⲁⲩⲟ	N	ⲁⲧⲧⲁⲩⲟ
