.	PUNCT	.
ⲁⲣⲛⲓⲥⲑⲉ	V	ⲁⲣⲛⲓⲥⲑⲉ
ⲁⲣⲝ	N	ⲁⲣⲝ
ⲁⲣⲣⲏⲧⲟⲛ	N	ⲁⲣⲣⲏⲧⲟⲛ
ⲁⲣⲣⲏⲧⲟⲥ	N	ⲁⲣⲣⲏⲧⲟⲥ
ⲁⲣⲥⲉⲛⲓⲟⲥ	NPROP	ⲁⲣⲥⲉⲛⲓⲟⲥ
ⲁⲣⲥⲉⲛⲟⲅⲉⲛⲓⲁ	N	ⲁⲣⲥⲉⲛⲟⲅⲉⲛⲓⲁ
ⲁⲣⲥⲓⲛⲓⲕⲟⲛ	N	ⲁⲣⲥⲓⲛⲓⲕⲟⲛ
ⲁⲣⲧⲉⲙⲓⲥ	NPROP	ⲁⲣⲧⲉⲙⲓⲥ
ⲁⲣⲧⲏⲣⲓⲁ	N	ⲁⲣⲧⲏⲣⲓⲁ
ⲁⲣⲧⲩⲙⲓⲥ	N	ⲁⲣⲧⲩⲙⲓⲥ
ⲁⲣⲭⲁⲅⲅⲉⲗⲓⲕⲏ	N	ⲁⲣⲭⲁⲅⲅⲉⲗⲓⲕⲏ
ⲁⲣⲭⲁⲅⲅⲉⲗⲟⲥ	N	ⲁⲣⲭⲁⲅⲅⲉⲗⲟⲥ
ⲁⲣⲭⲁⲓⲟⲛ	N	ⲁⲣⲭⲁⲓⲟⲛ
ⲁⲣⲭⲁⲓⲟⲥ	N	ⲁⲣⲭⲁⲓⲟⲥ
ⲁⲣⲭⲉⲓ	V	ⲁⲣⲭⲉⲓ
ⲁⲣⲭⲉⲟⲥ	N	ⲁⲣⲭⲉⲟⲥ
ⲁⲣⲭⲉⲥⲑⲁⲓ	V	ⲁⲣⲭⲉⲥⲑⲁⲓ
ⲁⲣⲭⲏ	N	ⲁⲣⲭⲏ
ⲁⲣⲭⲏⲅⲟⲥ	N	ⲁⲣⲭⲏⲅⲟⲥ
ⲁⲣⲭⲏⲇⲓⲁⲕⲟⲛⲟⲥ	N	ⲁⲣⲭⲏⲇⲓⲁⲕⲟⲛⲟⲥ
ⲁⲣⲭⲏⲇⲓⲁⲕⲱⲛ	N	ⲁⲣⲭⲏⲇⲓⲁⲕⲱⲛ
ⲁⲣⲭⲏⲉⲡⲓⲥⲕⲟⲡⲟⲥ	N	ⲁⲣⲭⲏⲉⲡⲓⲥⲕⲟⲡⲟⲥ
ⲁⲣⲭⲏⲑⲗⲓⲧⲏⲥ	N	ⲁⲣⲭⲏⲑⲗⲓⲧⲏⲥ
ⲁⲣⲭⲏⲕⲣⲓⲧⲏⲥ	N	ⲁⲣⲭⲏⲕⲣⲓⲧⲏⲥ
ⲁⲣⲭⲏⲗⲏⲥⲧⲏⲥ	N	ⲁⲣⲭⲏⲗⲏⲥⲧⲏⲥ
ⲁⲣⲭⲏⲡⲗⲁⲥⲙⲁ	N	ⲁⲣⲭⲏⲡⲗⲁⲥⲙⲁ
ⲁⲣⲭⲏⲡⲣⲉⲥⲃⲩⲧⲉⲣⲟⲥ	N	ⲁⲣⲭⲏⲡⲣⲉⲥⲃⲩⲧⲉⲣⲟⲥ
ⲁⲣⲭⲏⲡⲣⲟⲫⲏⲧⲏⲥ	N	ⲁⲣⲭⲏⲡⲣⲟⲫⲏⲧⲏⲥ
ⲁⲣⲭⲏⲥⲧⲣⲁⲧⲩⲗⲁⲧⲏⲥ	N	ⲁⲣⲭⲏⲥⲧⲣⲁⲧⲩⲗⲁⲧⲏⲥ
ⲁⲣⲭⲏⲥⲩⲛⲁⲅⲱⲅⲟⲥ	N	ⲁⲣⲭⲏⲥⲩⲛⲁⲅⲱⲅⲟⲥ
ⲁⲣⲭⲓ	V	ⲁⲣⲭⲉⲓ
ⲁⲣⲭⲓⲅⲉⲛⲉⲧⲱⲣ	N	ⲁⲣⲭⲓⲅⲉⲛⲉⲧⲱⲣ
ⲁⲣⲭⲓⲅⲉⲛⲛⲏⲧⲱⲣ	N	ⲁⲣⲭⲓⲅⲉⲛⲛⲏⲧⲱⲣ
ⲁⲣⲭⲓⲇⲓⲁⲕⲟⲛⲟⲥ	N	ⲁⲣⲭⲓⲇⲓⲁⲕⲟⲛⲟⲥ
ⲁⲣⲭⲓⲉⲡⲓⲥⲕⲟⲡⲟⲥ	N	ⲁⲣⲭⲓⲉⲡⲓⲥⲕⲟⲡⲟⲥ
ⲁⲣⲭⲓⲉⲣⲉⲩⲥ	N	ⲁⲣⲭⲓⲉⲣⲉⲩⲥ
ⲁⲣⲭⲓⲙⲁⲅⲉⲣⲟⲥ	N	ⲁⲣⲭⲓⲙⲁⲅⲉⲣⲟⲥ
ⲁⲣⲭⲓⲙⲁⲛⲇⲣⲓⲧⲏⲥ	N	ⲁⲣⲭⲓⲙⲁⲛⲇⲣⲓⲧⲏⲥ
ⲁⲣⲭⲓⲥⲑⲁⲓ	V	ⲁⲣⲭⲓⲥⲑⲁⲓ
ⲁⲣⲭⲓⲥⲧⲣⲁⲧⲉⲩⲙⲁ	N	ⲁⲣⲭⲓⲥⲧⲣⲁⲧⲉⲩⲙⲁ
ⲁⲣⲭⲓⲥⲧⲣⲁⲧⲏⲅⲟⲥ	N	ⲁⲣⲭⲓⲥⲧⲣⲁⲧⲏⲅⲟⲥ
ⲁⲣⲭⲓⲥⲩⲛⲁⲅⲱⲅⲟⲥ	N	ⲁⲣⲭⲓⲥⲩⲛⲁⲅⲱⲅⲟⲥ
ⲁⲣⲭⲓⲧⲉⲕⲧⲱⲛ	N	ⲁⲣⲭⲓⲧⲉⲕⲧⲱⲛ
ⲁⲣⲭⲓⲧⲗⲕ	V	ⲁⲣⲭⲓⲧⲗⲕ
ⲁⲣⲭⲟⲛⲧⲓⲕⲏ	N	ⲁⲣⲭⲟⲛⲧⲓⲕⲏ
ⲁⲣⲭⲟⲛⲧⲓⲕⲟⲛ	N	ⲁⲣⲭⲟⲛⲧⲓⲕⲟⲛ
ⲁⲣⲭⲱⲛ	N	ⲁⲣⲭⲱⲛ
ⲁⲣⲱⲙⲁⲧⲁ	N	ⲁⲣⲱⲙⲁⲧⲁ
ⲁⲣⲱⲟⲩⲓ	N	ⲣⲱⲟⲩⲓ
ⲁⲥϣⲁⲛ	ACOND_PPERS	ⲁⲣⲉϣⲁⲛ_ⲛⲑⲟⲥ
ⲁⲥⲁϥ	N	ⲁⲥⲁϥ
ⲁⲥⲁⲗⲉⲩⲧⲟⲥ	N	ⲁⲥⲁⲗⲉⲩⲧⲟⲥ
ⲁⲥⲉⲃⲏⲥ	N	ⲁⲥⲉⲃⲏⲥ
ⲁⲥⲏⲙⲁⲛⲧⲟⲥ	N	ⲁⲥⲏⲙⲁⲛⲧⲟⲥ
ⲁⲥⲏⲙⲓⲟⲥ	N	ⲁⲥⲏⲙⲓⲟⲥ
ⲁⲥⲑⲉⲛⲉⲓⲁ	N	ⲁⲥⲑⲉⲛⲉⲓⲁ
ⲁⲥⲑⲉⲛⲏⲥ	N	ⲁⲥⲑⲉⲛⲏⲥ
ⲁⲥⲓⲁ	NPROP	ⲁⲥⲓⲁ
ⲁⲥⲓⲁⲓ	V	ⲁⲥⲓⲁⲓ
ⲁⲥⲓⲱⲟⲩ	VSTAT	ⲁⲥⲓⲁⲓ
ⲁⲥⲕⲉⲓ	V	ⲁⲥⲕⲉⲓ
ⲁⲥⲕⲏⲥⲓⲥ	N	ⲁⲥⲕⲏⲥⲓⲥ
ⲁⲥⲕⲏⲧⲏⲥ	N	ⲁⲥⲕⲏⲧⲏⲥ
ⲁⲥⲕⲏⲧⲓⲕⲟⲛ	N	ⲁⲥⲕⲏⲧⲓⲕⲟⲛ
ⲁⲥⲕⲟⲥ	N	ⲁⲥⲕⲟⲥ
ⲁⲥⲟ	N	ⲁⲥⲟ
ⲁⲥⲟϥⲡⲉⲣ	N	ⲁⲥⲟϥⲡⲉⲣ
ⲁⲥⲟⲩⲓ	N	ⲁⲥⲟⲩⲓ
ⲁⲥⲟⲩⲗⲓ	N	ⲁⲥⲟⲩⲗⲓ
ⲁⲥⲡⲁⲍⲉ	V	ⲁⲥⲡⲁⲍⲉ
ⲁⲥⲡⲁⲗⲁⲑⲟⲥ	N	ⲁⲥⲡⲁⲗⲁⲑⲟⲥ
ⲁⲥⲡⲁⲥⲙⲟⲥ	N	ⲁⲥⲡⲁⲥⲙⲟⲥ
ⲁⲥⲡⲓ	N	ⲁⲥⲡⲓ
ⲁⲥⲥⲁⲣⲓⲟⲛ	N	ⲁⲥⲥⲁⲣⲓⲟⲛ
ⲁⲥⲥⲩⲣⲓⲟⲥ	N	ⲁⲥⲥⲩⲣⲓⲟⲥ
ⲁⲥⲧⲏⲣ	N	ⲁⲥⲧⲏⲣ
ⲁⲥⲧⲓⲟⲥ	N	ⲁⲥⲧⲓⲟⲥ
ⲁⲥⲩⲛⲑⲉⲧⲟⲛ	N	ⲁⲥⲩⲛⲑⲉⲧⲟⲛ
ⲁⲥⲫⲁⲗⲏⲥ	N	ⲁⲥⲫⲁⲗⲏⲥ
ⲁⲥⲫⲁⲗⲓⲁ	N	ⲁⲥⲫⲁⲗⲓⲁ
ⲁⲥⲫⲁⲗⲓⲍⲉ	V	ⲁⲥⲫⲁⲗⲓⲍⲉ
ⲁⲥⲫⲁⲗⲱⲥ	ADV	ⲁⲥⲫⲁⲗⲱⲥ
ⲁⲥⲫⲟⲩⲓ	N	ⲁⲥⲫⲟⲩⲓ
ⲁⲥⲭⲏⲙⲟⲛⲉⲓ	V	ⲁⲥⲭⲏⲙⲟⲛⲉⲓ
ⲁⲥⲭⲏⲙⲟⲥⲩⲛⲏ	N	ⲁⲥⲭⲏⲙⲟⲥⲩⲛⲏ
ⲁⲥⲱⲙⲁⲧⲟⲛ	N	ⲁⲥⲱⲙⲁⲧⲟⲛ
ⲁⲥⲱⲙⲁⲧⲟⲥ	N	ⲁⲥⲱⲙⲁⲧⲟⲥ
ⲁⲧϭⲛⲟⲩ	PREP	ⲁⲧϭⲛⲉ
ⲁⲧϭⲣⲏⲛ	N	ⲁϭⲣⲏⲛ
ⲁⲧⲁⲕⲧⲱⲥ	N	ⲁⲧⲁⲕⲧⲱⲥ
ⲁⲧⲁⲙⲁⲛⲇⲓⲛⲟⲛ	N	ⲁⲧⲁⲙⲁⲛⲇⲓⲛⲟⲛ
ⲁⲧⲁⲝⲓⲁ	N	ⲁⲧⲁⲝⲓⲁ
ⲁⲧⲉⲗⲏⲥ	N	ⲁⲧⲉⲗⲏⲥ
ⲁⲧⲓⲙⲓⲁ	N	ⲁⲧⲓⲙⲓⲁ
ⲁⲧⲓⲙⲟⲥ	N	ⲁⲧⲓⲙⲟⲥ
ⲁⲧⲕⲁⲥ	N	ⲁⲧⲕⲁⲥ
ⲁⲧⲣⲉⲡⲧⲟⲥ	N	ⲁⲧⲣⲉⲡⲧⲟⲥ
ⲁⲩϣⲁⲛ	ACOND_PPERS	ⲁⲣⲉϣⲁⲛ_ⲛⲑⲱⲟⲩ
ⲁⲩϫⲁⲗ	N	ⲁⲩϫⲁⲗ
ⲁⲩϫⲱⲗ	V	ϫⲱⲗ
ⲁⲩⲑⲁⲇⲏⲥ	N	ⲁⲩⲑⲁⲇⲏⲥ
ⲁⲩⲑⲁⲧⲏⲥ	N	ⲁⲩⲑⲁⲇⲏⲥ
ⲁⲩⲑⲁⲧⲏⲥ	N	ⲁⲩⲑⲁⲧⲏⲥ
ⲁⲩⲑⲉⲛⲧⲉⲓⲁ	N	ⲁⲩⲑⲉⲛⲧⲉⲓⲁ
ⲁⲩⲑⲉⲛⲧⲏⲥ	N	ⲁⲩⲑⲉⲛⲧⲏⲥ
ⲁⲩⲑⲉⲛⲧⲓⲕⲏ	N	ⲁⲩⲑⲉⲛⲧⲓⲕⲏ
ⲁⲩⲓⲥ	V	ⲁⲩⲓⲥ
ⲁⲩⲗⲏ	N	ⲁⲩⲗⲏ
ⲁⲩⲗⲏⲟⲩ	N	ⲁⲩⲗⲏⲟⲩ
ⲁⲩⲝⲁⲛⲉ	V	ⲁⲩⲝⲁⲛⲉ
ⲁⲩⲝⲓⲥⲓⲥ	N	ⲁⲩⲝⲓⲥⲓⲥ
ⲁⲩⲣⲏϫ	N	ⲁⲩⲣⲏϫ
ⲁⲩⲥⲟⲛ	N	ⲁⲃⲥⲱⲛ
ⲁⲩⲧⲟⲅⲉⲛⲏⲥ	N	ⲁⲩⲧⲟⲅⲉⲛⲏⲥ
ⲁⲩⲧⲟⲅⲉⲛⲏⲧⲟⲥ	N	ⲁⲩⲧⲟⲅⲉⲛⲏⲧⲟⲥ
ⲁⲩⲧⲟⲅⲉⲛⲛⲓⲟⲥ	N	ⲁⲩⲧⲟⲅⲉⲛⲛⲓⲟⲥ
ⲁⲩⲧⲟⲇⲟⲝⲁⲥⲧⲟⲥ	N	ⲁⲩⲧⲟⲇⲟⲝⲁⲥⲧⲟⲥ
ⲁⲩⲧⲟⲑⲉⲗⲏⲧⲟⲥ	N	ⲁⲩⲧⲟⲑⲉⲗⲏⲧⲟⲥ
ⲁⲩⲧⲟⲕⲣⲁⲧⲱⲣ	N	ⲁⲩⲧⲟⲕⲣⲁⲧⲱⲣ
ⲁⲩⲧⲟⲡⲁⲧⲱⲣ	N	ⲁⲩⲧⲟⲡⲁⲧⲱⲣ
ⲁⲩⲧⲟⲧⲉⲗⲏⲥ	N	ⲁⲩⲧⲟⲧⲉⲗⲏⲥ
ⲁⲩⲧⲟⲩ	N	ⲁⲩⲧⲟⲩ
ⲁⲩⲧⲟⲫⲩⲏⲥ	N	ⲁⲩⲧⲟⲫⲩⲏⲥ
ⲁⲩⲱⲛ	V	ⲟⲩⲱⲛ
ⲁⲫⲉ	N	ⲁⲫⲉ
ⲁⲫⲉⲇⲣⲱⲛ	N	ⲁⲫⲉⲇⲣⲱⲛ
ⲁⲫⲉⲗⲡⲓⲍⲉ	V	ⲁⲫⲉⲗⲡⲓⲍⲉ
ⲁⲫⲏⲟⲩⲓ	N	ⲁⲫⲉ
ⲁⲫⲏⲧ	N	ⲁⲫⲟⲧ
ⲁⲫⲑⲁⲣⲥⲓⲁ	N	ⲁⲫⲑⲁⲣⲥⲓⲁ
ⲁⲫⲑⲁⲣⲧⲟⲛ	N	ⲁⲫⲑⲁⲣⲧⲟⲛ
ⲁⲫⲑⲁⲣⲧⲟⲥ	N	ⲁⲫⲑⲁⲣⲧⲟⲥ
ⲁⲫⲑⲟⲛⲓⲁ	NPROP	ⲁⲫⲑⲟⲛⲓⲁ
ⲁⲫⲑⲟⲣⲟⲥ	N	ⲁⲫⲑⲟⲣⲟⲥ
ⲁⲫⲟⲣⲓⲥⲙⲟⲥ	N	ⲁⲫⲟⲣⲓⲥⲙⲟⲥ
ⲁⲫⲟⲣⲙⲏ	N	ⲁⲫⲟⲣⲙⲏ
ⲁⲫⲟⲧ	N	ⲁⲫⲟⲧ
ⲁⲫⲟⲩⲓ	N	ⲁϥ
ⲁⲫⲣⲏⲇⲱⲛⲓⲁ	N	ⲁⲫⲣⲏⲇⲱⲛⲓⲁ
ⲁⲫⲱⲣⲓⲥⲉ	V	ⲁⲫⲱⲣⲓⲥⲉ
ⲁⲫⲱⲧ	N	ⲉⲫⲱⲧ
ⲁⲫⲱⲫ	N	ⲁⲫⲱⲫ
ⲁⲭⲁⲁⲃ	NPROP	ⲁⲭⲁⲁⲃ
ⲁⲭⲁⲃ	NPROP	ⲁⲭⲁⲃ
ⲁⲭⲁⲓⲁ	NPROP	ⲁⲭⲁⲓⲁ
ⲁⲭⲁⲓⲕⲟⲥ	NPROP	ⲁⲭⲁⲓⲕⲟⲥ
ⲁⲭⲁⲧⲏⲥ	N	ⲁⲭⲁⲧⲏⲥ
ⲁⲭⲓ	N	ⲁϧⲓ
ⲁⲭⲓⲗⲗⲓⲟⲛ	N	ⲁⲭⲓⲗⲗⲓⲟⲛ
ⲁⲭⲱ	N	ⲁⲭⲱ
ⲁⲭⲱⲟⲩⲓ	N	ⲁⲭⲱ
ⲁⲭⲱⲣⲏⲧⲟⲥ	N	ⲁⲭⲱⲣⲏⲧⲟⲥ
ⲁⲯⲩⲭⲟⲛ	N	ⲁⲯⲩⲭⲟⲛ
ⲃⲁϣ	V	ⲃⲱϣ
ⲃⲁϣⲓ	N	ⲃⲁϣⲓ
ⲃⲁϣⲟⲣ	N	ⲃⲁϣⲟⲣ
ⲃⲁϣⲟⲩϣ	N	ⲃⲁϣⲟⲩϣ
ⲃⲁϣⲟⲩⲣ	N	ⲃⲁϣⲟⲩⲣ
ⲃⲁϩ	N	ⲟⲩⲁϩ
ⲃⲁϩ	V	ⲟⲩⲱϩ
ⲃⲁϩⲥⲓ	N	ⲃⲁϩⲥⲓ
ⲃⲁϫⲏⲛⲓ	N	ⲁⲃⲁϫⲏⲓⲛⲓ
ⲃⲁϫⲓ	V	ⲃⲁϫⲓ
ⲃⲁϫⲓⲏⲛⲓ	N	ⲁⲃⲁϫⲏⲓⲛⲓ
ⲃⲁϫⲓⲛⲓ	N	ⲁⲃⲁϫⲏⲓⲛⲓ
ⲃⲁⲉⲙⲡⲓ	N	ⲃⲁⲉⲙⲡⲓ
ⲃⲁⲑⲙⲟⲥ	N	ⲃⲁⲑⲙⲟⲥ
ⲃⲁⲑⲟⲛ	N	ⲃⲁⲑⲟⲛ
ⲃⲁⲑⲟⲥ	N	ⲃⲁⲑⲟⲥ
ⲃⲁⲓ	N	ⲃⲁⲓ
ⲃⲁⲕ	V	ⲃⲁⲕ
ⲃⲁⲕ	V	ⲃⲱⲕ
ⲃⲁⲕ	VSTAT	ⲃⲱⲕ
ⲃⲁⲕⲓ	N	ⲃⲁⲕⲓ
ⲃⲁⲕⲓ	V	ⲃⲁⲕⲓ
ⲃⲁⲕⲧⲏⲣⲓⲁ	N	ⲃⲁⲕⲧⲏⲣⲓⲁ
ⲃⲁⲗ	N	ⲃⲁⲗ
ⲃⲁⲗ	VSTAT	ⲃⲱⲗ
ⲃⲁⲗϩⲙⲱⲟⲩ	N	ⲃⲁⲗϩⲙⲱⲟⲩ
ⲃⲁⲗⲁⲧ	N	ⲃⲁⲗⲁⲧ
ⲃⲁⲗⲕⲟⲩ	N	ⲃⲁⲗⲕⲟⲩ
ⲃⲁⲗⲗⲁ	NPROP	ⲃⲁⲗⲗⲁ
ⲃⲁⲗⲗⲁⲧⲓⲟⲛ	N	ⲃⲁⲗⲗⲁⲧⲓⲟⲛ
ⲃⲁⲗⲙⲃⲁϩ	N	ⲃⲁⲗⲙⲃⲉϩ
ⲃⲁⲗⲙⲃⲉϩ	N	ⲃⲁⲗⲙⲃⲉϩ
ⲃⲁⲗⲡⲉⲙⲱⲟⲩⲓ	N	ⲃⲁⲗϩⲙⲱⲟⲩ
ⲃⲁⲡⲧⲓⲍⲉ	V	ⲃⲁⲡⲧⲓⲍⲉ
ⲃⲁⲡⲧⲓⲥⲙⲁ	N	ⲃⲁⲡⲧⲓⲥⲙⲁ
ⲃⲁⲡⲧⲓⲥⲙⲟⲥ	N	ⲃⲁⲡⲧⲓⲥⲙⲟⲥ
ⲃⲁⲡⲧⲓⲥⲧⲏⲥ	N	ⲃⲁⲡⲧⲓⲥⲧⲏⲥ
ⲃⲁⲣϣⲓⲛ	N	ⲃⲁⲣϣⲓⲛ
ⲃⲁⲣⲁⲃⲃⲁⲥ	NPROP	ⲃⲁⲣⲁⲃⲃⲁⲥ
ⲃⲁⲣⲁⲭⲓⲁⲥ	NPROP	ⲃⲁⲣⲁⲭⲓⲁⲥ
ⲃⲁⲣⲃⲁⲣⲟⲥ	N	ⲃⲁⲣⲃⲁⲣⲟⲥ
ⲃⲁⲣⲉⲓ	V	ⲃⲁⲣⲉⲓ
ⲃⲁⲣⲉⲓⲥⲑⲁⲓ	V	ⲃⲁⲣⲉⲓⲥⲑⲁⲓ
ⲃⲁⲣⲏⲓⲧ	N	ⲃⲁⲣⲏⲓⲧ
ⲃⲁⲣⲑⲟⲗⲟⲙⲁⲓⲟⲥ	NPROP	ⲃⲁⲣⲑⲟⲗⲟⲙⲁⲓⲟⲥ
ⲃⲁⲣⲑⲟⲗⲟⲙⲉⲟⲥ	NPROP	ⲃⲁⲣⲑⲟⲗⲟⲙⲉⲟⲥ
ⲃⲁⲣⲟϩ	N	ⲃⲁⲣⲟϩ
ⲃⲁⲣⲟⲥ	N	ⲃⲁⲣⲟⲥ
ⲃⲁⲣⲟⲧ	N	ⲃⲁⲣⲱⲧ
ⲃⲁⲣⲧⲓⲙⲁⲓⲟⲥ	NPROP	ⲃⲁⲣⲧⲓⲙⲁⲓⲟⲥ
ⲃⲁⲣⲱⲧ	N	ⲃⲁⲣⲱⲧ
ⲃⲁⲥ	V	ⲟⲩⲓⲥⲓ
ⲃⲁⲥⲁⲛⲓⲍⲉ	V	ⲃⲁⲥⲁⲛⲓⲍⲉ
ⲃⲁⲥⲁⲛⲓⲥⲧⲏⲣⲓⲟⲛ	N	ⲃⲁⲥⲁⲛⲓⲥⲧⲏⲣⲓⲟⲛ
ⲃⲁⲥⲁⲛⲓⲥⲧⲏⲥ	N	ⲃⲁⲥⲁⲛⲓⲥⲧⲏⲥ
ⲃⲁⲥⲁⲛⲟⲥ	N	ⲃⲁⲥⲁⲛⲟⲥ
ⲃⲁⲥⲓⲗⲉⲓⲧⲏⲥ	NPROP	ⲃⲁⲥⲓⲗⲉⲓⲧⲏⲥ
ⲃⲁⲥⲓⲗⲓⲕⲟⲛ	N	ⲃⲁⲥⲓⲗⲓⲕⲟⲛ
ⲃⲁⲥⲓⲗⲓⲕⲟⲥ	N	ⲃⲁⲥⲓⲗⲓⲕⲟⲥ
ⲃⲁⲥⲓⲙⲟⲥ	NPROP	ⲃⲁⲥⲓⲙⲟⲥ
ⲃⲁⲥⲓⲥ	N	ⲃⲁⲥⲓⲥ
ⲃⲁⲥⲕⲁⲛⲟⲥ	N	ⲃⲁⲥⲕⲁⲛⲟⲥ
ⲃⲁⲥⲛⲏⲧ	N	ⲃⲉⲥⲛⲏⲧ
ⲃⲁⲥⲟⲩⲣ	N	ⲃⲁⲥⲟⲩⲣ
ⲃⲁⲥⲧ	V	ⲃⲱⲥⲧ
ⲃⲁⲥⲧⲉⲣⲛⲁ	N	ⲃⲁⲥⲧⲉⲣⲛⲁ
ⲃⲁⲧⲁⲛⲉ	N	ⲃⲁⲧⲁⲛⲉ
ⲃⲁⲧⲟⲥ	N	ⲃⲁⲧⲟⲥ
ⲃⲁⲧⲧⲁⲗⲟⲅⲓ	V	ⲃⲁⲧⲧⲁⲗⲟⲅⲓ
ⲃⲁⲧⲧⲟⲗⲟⲅⲓⲁ	N	ⲃⲁⲧⲧⲟⲗⲟⲅⲓⲁ
ⲃⲁⲩ	N	ⲃⲁⲓ
ⲃⲁⲩⲕⲁⲗⲓⲟⲛ	N	ⲃⲁⲩⲕⲁⲗⲓⲟⲛ
ⲃⲇⲉⲗⲗⲏ	N	ⲃⲇⲉⲗⲗⲏ
ⲃⲉϣ	N	ⲃⲉϣ
ⲃⲉϩⲃⲉϩ	N	ⲃⲉϩⲃⲉϩ
ⲃⲉϩⲓ	N	ⲃⲉϩⲓ
ⲃⲉϫⲃⲱϫ	V	ⲟⲩⲟϫⲟⲩⲉϫ
ⲃⲉϫⲏⲛ	N	ⲃⲉϭⲏⲛ
ⲃⲉϫⲓ	N	ⲃⲏϫ
ⲃⲉϭⲏⲛ	N	ⲃⲉϭⲏⲛ
ⲃⲉⲃⲁⲓⲟⲩ	V	ⲃⲉⲃⲁⲓⲟⲩ
ⲃⲉⲃⲓ	V	ⲃⲉⲃⲓ
ⲃⲉⲉⲗⲍⲉⲃⲟⲩⲗ	N	ⲃⲉⲉⲗⲍⲉⲃⲟⲩⲗ
ⲃⲉⲗ	V	ⲃⲱⲗ
ⲃⲉⲗϩⲱⲗ	N	ⲃⲉⲗϩⲱⲗ
ⲃⲉⲗϫ	N	ⲃⲉⲗϫ
ⲃⲉⲗⲍⲉⲃⲟⲩⲗ	NPROP	ⲃⲉⲗⲍⲉⲃⲟⲩⲗ
ⲃⲉⲗⲑⲱⲛ	N	ⲃⲉⲗⲑⲱⲛ
ⲃⲉⲗⲗⲉ	N	ⲃⲉⲗⲗⲉ
ⲃⲉⲗⲗⲉⲩ	N	ⲃⲉⲗⲗⲉ
ⲃⲉⲗⲗⲏ	N	ⲃⲉⲗⲗⲉ
ⲃⲉⲛϫⲓ	N	ⲃⲉⲛϫⲓ
ⲃⲉⲛⲓ	N	ⲃⲉⲛⲓ
ⲃⲉⲛⲓ	N	ⲃⲏⲛⲓ
ⲃⲉⲛⲓⲁⲙⲓⲛ	NPROP	ⲃⲉⲛⲓⲁⲙⲓⲛ
ⲃⲉⲛⲓⲡⲓ	N	ⲃⲉⲛⲓⲡⲓ
ⲃⲉⲛⲛⲏ	N	ⲃⲉⲛⲛⲏ
ⲃⲉⲣϣⲏⲟⲩ	N	ⲃⲉⲣϣⲏⲟⲩ
ⲃⲉⲣϣⲟ	N	ⲃⲉⲣϣⲟ
ⲃⲉⲣⲃⲉⲣ	V	ⲃⲉⲣⲃⲉⲣ
ⲃⲉⲣⲃⲉⲣ	V	ⲃⲟⲣⲃⲉⲣ
ⲃⲉⲣⲃⲓⲣ	N	ⲃⲉⲣⲃⲓⲣ
ⲃⲉⲣⲃⲱⲣ	V	ⲃⲟⲣⲃⲉⲣ
ⲃⲉⲣⲉϭⲱⲟⲩⲧⲥ	N	ⲃⲉⲣⲉϭⲱⲟⲩⲧⲥ
ⲃⲉⲣⲉⲧⲁⲣⲓⲟⲥ	N	ⲃⲉⲣⲉⲧⲁⲣⲓⲟⲥ
ⲃⲉⲣⲓ	N	ⲃⲉⲣⲓ
ⲃⲉⲣⲥⲓ	N	ⲃⲉⲣⲥⲓ
ⲃⲉⲣⲥⲓϯ	N	ⲃⲉⲣⲥⲓϯ
ⲃⲉⲣⲧ	N	ⲟⲩⲉⲣⲧ
ⲃⲉⲥⲉ	N	ⲃⲉⲥⲉ
ⲃⲉⲥⲛⲏⲧ	N	ⲃⲉⲥⲛⲏⲧ
ⲃⲉⲧ	V	ⲃⲟϯ
ⲃⲉⲧⲃⲉⲧ	N	ⲃⲉⲧⲃⲉⲧ
ⲃⲉⲭⲉ	N	ⲃⲉⲭⲉ
ⲃⲉⲭⲏⲟⲩⲓ	N	ⲃⲉⲭⲉ
ⲃⲏ	N	ⲃⲏ
ⲃⲏϣ	N	ⲃⲉϣ
ⲃⲏϣ	VSTAT	ⲃⲱϣ
ⲃⲏϫ	N	ⲃⲏϫ
ⲃⲏⲃ	N	ⲃⲏⲃ
ⲃⲏⲇⲥⲁⲓⲇⲁⲛ	N	ⲃⲏⲇⲥⲁⲓⲇⲁⲛ
ⲃⲏⲇⲥⲁⲓⲇⲁⲛ	NPROP	ⲃⲏⲇⲥⲁⲓⲇⲁⲛ
ⲃⲏⲑⲥⲁⲓⲇⲁ	NPROP	ⲃⲏⲑⲥⲁⲓⲇⲁ
ⲃⲏⲕ	VSTAT	ⲃⲱⲕ
ⲃⲏⲗ	VSTAT	ⲃⲱⲗ
ⲃⲏⲙⲁ	N	ⲃⲏⲙⲁ
ⲃⲏⲛⲓ	N	ⲃⲏⲛⲓ
ⲃⲏⲣ	PINT	ⲟⲩⲏⲣ
ⲃⲏⲧ	N	ⲃⲏⲧ
ⲃⲏⲧ	VSTAT	ⲃⲟϯ
ⲃⲏⲧⲫⲁⲅⲏ	NPROP	ⲃⲏⲧⲫⲁⲅⲏ
ⲃⲓϫ	N	ⲃⲓϫ
ⲃⲓϫⲓ	V	ⲃⲓϫⲓ
ⲃⲓϯ	V	ⲃⲓϯ
ⲃⲓⲁ	N	ⲃⲓⲁ
ⲃⲓⲁⲍⲉ	V	ⲃⲓⲁⲍⲉ
